experiment_id,variant,alpha,seed,status,failure_reason,macro_f1,balanced_accuracy,accuracy,worst_client_macro_f1,coverage,delta_macro_f1_vs_E1,delta_balanced_accuracy_vs_E1
A1,no_payload,0.5,0,completed,,0.8238109268889333,0.8530379714198941,0.9283574114009808,0.617230684680967,,-0.015789012177977124,-0.030988487649584395
A1,no_payload,0.5,1,completed,,0.8281929425247281,0.8621815170972693,0.932842229813546,0.6473899687867959,,-0.04915664693470512,-0.06884023590340771
A2,hashed_ngrams,0.5,0,completed,,0.8412772013333198,0.8840480956456235,0.9393499875951832,0.6423525579281143,,0.0016772622664094072,2.163657614495662e-05
A2,hashed_ngrams,0.5,1,completed,,0.8626307040051563,0.8969078477167928,0.9368308555506784,0.6848188407545904,,-0.014718885454276909,-0.03411390528388425
A3,frozen_encoder,0.5,0,completed,,0.860761931771397,0.8915541264900112,0.9369453615527014,0.7214652354479476,,0.0211619927044866,0.00752766742053268
A3,frozen_encoder,0.5,1,completed,,0.8279054726160153,0.8523327437679364,0.92715509837974,0.6475059169746632,,-0.049444116843417873,-0.07868900923274058
A4,homogeneous,0.5,0,completed,,0.8590231997914076,0.8944429753230887,0.937441554228134,0.6853928917204765,,0.019423260724497182,0.010416516253610175
A4,homogeneous,0.5,1,completed,,0.8676773442756242,0.8936391422696357,0.9373843012271228,0.6978730155568459,,-0.009672245183809047,-0.03738261073104132
A5,no_shares_host,0.5,0,completed,,0.829551603265738,0.8482170696712131,0.9372125422240882,0.6176313022037111,,-0.010048335801172481,-0.03580938939826539
A5,no_shares_host,0.5,1,completed,,0.83954228425498,0.8525608359029777,0.9272123513807516,0.6173795368736698,,-0.03780730520445319,-0.07846091709769931
A6,no_next,0.5,0,completed,,0.8542371990171629,0.8935807018719233,0.9401706139430142,0.6728336537596288,,0.014637259950252446,0.009554242802444768
A6,no_next,0.5,1,completed,,0.8796741372731122,0.9379390747449968,0.9397507586022634,0.6691613885520644,,0.0023245478136789677,0.006917321744319804
A8,no_graph_mlp,0.5,0,completed,,0.8411164509078333,0.8540902990110719,0.9363728315425868,0.6173238031822367,,0.0015165118409228295,-0.029936160058406602
A8,no_graph_mlp,0.5,1,completed,,0.854657416845534,0.8732876579255453,0.9363919158762573,0.6415830044514438,,-0.02269217261389922,-0.05773409507513172
A9,payload_only_head,0.5,0,completed,,0.6881862647575402,0.6656384624782622,0.8538433778419343,0.5687174777425967,0.21153075440371,-0.15141367430937025,-0.21838799659121633
A9,payload_only_head,0.5,1,completed,,0.6752116566305734,0.6546312430966587,0.8324612053410321,0.5625661133192625,0.21153075440371,-0.20213793282885983,-0.27639050990401837
