experiment_id,variant,alpha,seed,label,label_index,support,precision,recall,f1,tp,fp,fn,zero_division_policy
E1,main,0.5,0,backdoor,0,2896,0.9948418156808804,0.99896408839779,0.9968986905582355,2893,15,3,0.0
E1,main,0.5,0,ddos,1,16118,0.995777152170692,0.833912396078918,0.9076850351161534,13441,57,2677,0.0
E1,main,0.5,0,dos,2,13676,0.9785330948121646,0.9999268792044458,0.9891143177461936,13675,300,1,0.0
E1,main,0.5,0,injection,3,1638,0.5504279866021585,0.9029304029304028,0.6839306358381503,1479,1208,159,0.0
E1,main,0.5,0,mitm,4,61,0.25,0.1967213114754098,0.2201834862385321,12,36,49,0.0
E1,main,0.5,0,normal,5,3031,0.7480591034310042,0.9854833388320686,0.8505125284738041,2987,1006,44,0.0
E1,main,0.5,0,password,6,4609,0.9909552172953894,0.97461488392276,0.9827171297309124,4492,41,117,0.0
E1,main,0.5,0,ransomware,7,235,0.6946107784431138,0.9872340425531916,0.8154657293497364,232,102,3,0.0
E1,main,0.5,0,scanning,8,2929,0.9964862965565706,0.9682485489928304,0.982164502164502,2836,10,93,0.0
E1,main,0.5,0,xss,9,7206,0.9436452421802825,0.9922286983069664,0.9673273354528852,7150,427,56,0.0
E1,main,0.5,1,backdoor,0,2896,0.9962121212121212,0.99896408839779,0.9975862068965518,2893,11,3,0.0
E1,main,0.5,1,ddos,1,16118,0.9970122497759188,0.8281424494354138,0.9047651325154206,13348,40,2770,0.0
E1,main,0.5,1,dos,2,13676,0.9779685264663804,0.999707516817783,0.988718542088516,13672,308,4,0.0
E1,main,0.5,1,injection,3,1638,0.7233734939759037,0.9163614163614164,0.8085106382978723,1501,574,137,0.0
E1,main,0.5,1,mitm,4,61,0.3089430894308943,0.6229508196721312,0.4130434782608695,38,85,23,0.0
E1,main,0.5,1,normal,5,3031,0.6734371473707966,0.9844935664797096,0.7997855802733852,2984,1447,47,0.0
E1,main,0.5,1,password,6,4609,0.9719231581169516,0.9989151659796052,0.9852343248448534,4604,133,5,0.0
E1,main,0.5,1,ransomware,7,235,0.8661710037174721,0.9914893617021276,0.9246031746031746,233,36,2,0.0
E1,main,0.5,1,scanning,8,2929,0.9982584465343086,0.9784909525435302,0.9882758620689656,2866,5,63,0.0
E1,main,0.5,1,xss,9,7206,0.9367537068626164,0.9907021926172634,0.9629729547447224,7139,482,67,0.0
A1,no_payload,0.5,0,backdoor,0,2896,0.9846834581347856,0.99896408839779,0.9917723688721288,2893,45,3,0.0
A1,no_payload,0.5,0,ddos,1,16118,0.9963126843657816,0.8381933242337759,0.9104387088078713,13510,50,2608,0.0
A1,no_payload,0.5,0,dos,2,13676,0.9983177296664716,0.9980257385200352,0.9981717127395056,13649,23,27,0.0
A1,no_payload,0.5,0,injection,3,1638,0.7789400278940027,0.681929181929182,0.7272135416666666,1117,317,521,0.0
A1,no_payload,0.5,0,mitm,4,61,0.5,0.1475409836065573,0.2278481012658227,9,9,52,0.0
A1,no_payload,0.5,0,normal,5,3031,0.5275450169370655,0.976245463543385,0.6849537037037037,2959,2650,72,0.0
A1,no_payload,0.5,0,password,6,4609,0.9594229035166816,0.9234107181601215,0.9410724156992814,4256,180,353,0.0
A1,no_payload,0.5,0,ransomware,7,235,0.6619318181818182,0.9914893617021276,0.7938671209540034,233,119,2,0.0
