,importance
L4_DST_PORT,0.10651733422922123
bytes_per_packet,0.10405731031611988
FLOW_DURATION_MILLISECONDS,0.07644017915693159
IN_BYTES,0.07289632699039027
byte_density,0.06874026865547549
TCP_FLAGS,0.06687574147638554
nf_flow_rate,0.0634408854129314
L7_PROTO,0.05573276401441884
OUT_PKTS,0.05533476448427094
IN_PKTS,0.05443433814793366
OUT_BYTES,0.05369305856877302
is_web_port,0.04710039264546048
byte_per_pkt_out,0.04708378436882778
out_in_bytes_ratio,0.04538086114817879
targets_system_port,0.027518018626597033
out_in_pkts_ratio,0.020382610644636787
PROTOCOL,0.01591542478035708
pkt_asymmetry,0.013069127635500258
response_size_category,0.005386808697589975
is_db_port,0.0
