,importance
OUT_PKTS,0.25306818
TCP_FLAGS,0.14009255
L4_DST_PORT,0.13024978
is_web_port,0.105843924
OUT_BYTES,0.08025998
byte_per_pkt_out,0.06213406
targets_system_port,0.045269456
L7_PROTO,0.03784679
IN_PKTS,0.031106384
PROTOCOL,0.028902575
bytes_per_packet,0.021733107
pkt_asymmetry,0.01272138
out_in_pkts_ratio,0.011661154
IN_BYTES,0.011465775
out_in_bytes_ratio,0.00773881
FLOW_DURATION_MILLISECONDS,0.0075734435
nf_flow_rate,0.005893624
byte_density,0.0044526258
response_size_category,0.001986258
is_db_port,0.0
