,importance
bytes_per_packet,0.09954655365519435
L4_DST_PORT,0.0954578854060585
FLOW_DURATION_MILLISECONDS,0.0758294023993941
byte_density,0.07378196690720253
IN_BYTES,0.07352133990765126
nf_flow_rate,0.06982529605509132
TCP_FLAGS,0.06293486651936094
L7_PROTO,0.05868250828979979
IN_PKTS,0.05722161678914252
out_in_bytes_ratio,0.05384356453985467
byte_per_pkt_out,0.051797177438815824
OUT_PKTS,0.04958359784411919
is_web_port,0.046935014095975267
OUT_BYTES,0.042505541759988004
targets_system_port,0.03628986484395689
out_in_pkts_ratio,0.017194625329366258
PROTOCOL,0.01622270857955143
pkt_asymmetry,0.01196864548078305
response_size_category,0.006857824158694128
is_db_port,0.0
