,importance
L4_DST_PORT,0.26335844
TCP_FLAGS,0.17507127
OUT_PKTS,0.11509407
is_web_port,0.11077797
L7_PROTO,0.09583813
byte_per_pkt_out,0.0408448
PROTOCOL,0.039958876
OUT_BYTES,0.036932494
IN_PKTS,0.029508252
out_in_pkts_ratio,0.02386069
bytes_per_packet,0.021187028
pkt_asymmetry,0.011178608
targets_system_port,0.006401336
out_in_bytes_ratio,0.006390547
FLOW_DURATION_MILLISECONDS,0.005090583
response_size_category,0.0050401944
IN_BYTES,0.004899093
nf_flow_rate,0.0045253066
byte_density,0.004042273
is_db_port,0.0
