,importance
bytes_per_packet,0.09503714759345085
IN_BYTES,0.08582608284891527
L4_DST_PORT,0.08324937726472598
FLOW_DURATION_MILLISECONDS,0.07661117614892077
OUT_PKTS,0.07423033188101226
byte_density,0.06883183068313001
OUT_BYTES,0.06427700431450556
nf_flow_rate,0.06246504113043131
L7_PROTO,0.06039660279709608
IN_PKTS,0.059360248619203054
byte_per_pkt_out,0.050023893997031624
is_web_port,0.048287060272079255
out_in_bytes_ratio,0.047251771720660425
TCP_FLAGS,0.04186056578986417
targets_system_port,0.0286133156021103
out_in_pkts_ratio,0.020027101347375557
PROTOCOL,0.013237412810081443
pkt_asymmetry,0.012100753993768823
response_size_category,0.008313281185637143
is_db_port,0.0
