,importance
is_web_port,0.34580037
OUT_PKTS,0.29363325
L7_PROTO,0.08190414
TCP_FLAGS,0.07646151
OUT_BYTES,0.053368844
L4_DST_PORT,0.039845336
byte_per_pkt_out,0.025069192
PROTOCOL,0.024617922
IN_BYTES,0.012960933
IN_PKTS,0.012158341
out_in_pkts_ratio,0.0076187383
bytes_per_packet,0.005214962
FLOW_DURATION_MILLISECONDS,0.004119083
byte_density,0.0040269317
nf_flow_rate,0.0034701645
out_in_bytes_ratio,0.0034562228
response_size_category,0.002978462
pkt_asymmetry,0.002951916
targets_system_port,0.00034372
is_db_port,0.0
