,importance
bytes_per_packet,0.10545502808512679
L4_DST_PORT,0.08883518682192583
FLOW_DURATION_MILLISECONDS,0.08049793348048785
IN_BYTES,0.08008243403952532
byte_density,0.07579891025527787
L7_PROTO,0.07060584293637896
nf_flow_rate,0.07021853191006094
IN_PKTS,0.058646328685371014
OUT_PKTS,0.05322851444229171
out_in_bytes_ratio,0.05218097085128491
byte_per_pkt_out,0.04908159884925008
OUT_BYTES,0.04480385306735289
is_web_port,0.043115066869856056
TCP_FLAGS,0.04096931357400062
targets_system_port,0.03583568066934674
PROTOCOL,0.021314773457939435
out_in_pkts_ratio,0.014070163972193456
pkt_asymmetry,0.009105135337912898
response_size_category,0.006154732694416722
is_db_port,0.0
