,importance
L4_DST_PORT,0.22539936
OUT_PKTS,0.15842512
PROTOCOL,0.15243013
is_web_port,0.14775617
L7_PROTO,0.12853345
TCP_FLAGS,0.059092432
out_in_pkts_ratio,0.02447716
bytes_per_packet,0.018855441
OUT_BYTES,0.018394278
IN_PKTS,0.017423216
byte_per_pkt_out,0.016610073
out_in_bytes_ratio,0.011768699
pkt_asymmetry,0.007384829
IN_BYTES,0.0037135908
FLOW_DURATION_MILLISECONDS,0.0032622286
nf_flow_rate,0.0023067985
byte_density,0.0022225454
response_size_category,0.0013734654
targets_system_port,0.0005710265
is_db_port,0.0
