client,role,label,flows
0,test,backdoor,397
0,test,normal,167
0,test,ransomware,74
0,test,xss,4051
0,train,backdoor,1062
0,train,injection,16
0,train,normal,1240
0,train,ransomware,96
0,train,xss,14043
0,val,backdoor,1583
0,val,mitm,67
0,val,normal,362
1,test,ddos,7497
1,test,injection,100
1,test,mitm,18
1,test,normal,212
1,test,ransomware,159
1,train,ddos,4966
1,train,dos,20983
1,train,injection,7
1,train,normal,858
1,train,scanning,2970
1,val,ddos,6334
1,val,mitm,25
1,val,normal,326
1,val,ransomware,2
2,test,backdoor,2248
2,test,dos,6754
2,test,injection,511
2,test,mitm,8
2,test,normal,1012
2,test,password,3702
2,test,xss,3155
2,train,backdoor,234
2,train,ddos,15608
2,train,dos,7149
2,train,normal,982
2,train,password,5145
2,train,ransomware,2
2,train,xss,9358
2,val,backdoor,3938
2,val,normal,370
3,test,ddos,8621
3,test,injection,1027
3,test,mitm,35
3,test,normal,1409
3,test,password,907
3,test,ransomware,2
3,test,scanning,2929
3,train,backdoor,506
3,train,ddos,4997
3,train,injection,2736
3,train,normal,802
3,train,password,1983
3,train,ransomware,97
3,train,scanning,4899
3,val,backdoor,1040
3,val,mitm,147
3,val,normal,652
4,test,backdoor,251
4,test,dos,6922
4,test,normal,231
4,train,backdoor,259
4,train,dos,17411
4,train,injection,1132
4,train,normal,809
4,train,xss,4788
4,val,backdoor,2600
4,val,normal,158
