client,role,label,flows
0,test,backdoor,791
0,test,dos,6754
0,test,mitm,7
0,test,normal,613
0,test,ransomware,161
0,train,backdoor,2182
0,train,dos,7149
0,train,normal,701
0,train,scanning,4520
0,val,backdoor,1187
0,val,mitm,134
0,val,normal,411
1,test,backdoor,1854
1,test,injection,998
1,test,mitm,9
1,test,normal,757
1,test,password,847
1,test,scanning,1398
1,train,backdoor,2623
1,train,injection,3875
1,train,normal,913
1,train,password,2114
1,train,ransomware,96
1,train,xss,3605
1,val,backdoor,1415
1,val,mitm,6
1,val,normal,176
2,test,mitm,45
2,test,normal,366
2,test,ransomware,74
2,train,dos,10270
2,train,injection,16
2,train,normal,460
2,val,mitm,26
2,val,normal,654
2,val,ransomware,28
2,val,xss,6102
3,test,ddos,7497
3,test,injection,29
3,test,normal,127
3,test,scanning,1531
3,train,ddos,4719
3,train,normal,445
3,train,password,3802
3,train,scanning,1679
3,train,xss,13255
3,val,mitm,25
3,val,normal,1307
3,val,ransomware,73
3,val,xss,5227
4,test,backdoor,251
4,test,ddos,8621
4,test,dos,6922
4,test,injection,611
4,test,normal,1168
4,test,password,3762
4,test,xss,7206
4,train,ddos,20852
4,train,dos,28124
4,train,normal,1046
4,train,scanning,1670
4,val,backdoor,3815
4,val,ddos,6334
4,val,mitm,48
4,val,normal,446
4,val,password,1212
