client,role,label,flows
0,test,injection,511
0,test,mitm,8
0,test,normal,259
0,train,backdoor,894
0,train,ddos,4719
0,train,injection,16
0,train,normal,853
0,train,password,2160
0,train,ransomware,28
0,train,scanning,2933
0,train,xss,4788
0,val,backdoor,1678
0,val,mitm,36
0,val,normal,336
1,test,backdoor,259
1,test,dos,6922
1,test,injection,29
1,test,normal,413
1,test,xss,4051
1,train,ddos,9438
1,train,dos,14502
1,train,normal,632
1,train,password,3889
1,train,xss,3605
1,val,backdoor,773
1,val,mitm,134
1,val,normal,1331
1,val,ransomware,69
1,val,xss,4336
2,test,backdoor,790
2,test,dos,6754
2,test,injection,100
2,test,normal,725
2,test,password,3702
2,test,ransomware,159
2,train,backdoor,512
2,train,dos,17385
2,train,injection,7
2,train,normal,926
2,train,scanning,868
2,val,backdoor,2071
2,val,mitm,6
2,val,normal,205
3,test,backdoor,651
3,test,ddos,8621
3,test,injection,998
3,test,mitm,33
3,test,normal,1030
3,test,scanning,1398
3,train,ddos,11414
3,train,injection,3868
3,train,normal,395
3,train,scanning,4068
3,train,xss,4131
3,val,backdoor,2516
3,val,mitm,38
3,val,normal,231
3,val,xss,5227
4,test,backdoor,1196
4,test,ddos,7497
4,test,mitm,20
4,test,normal,604
4,test,password,907
4,test,ransomware,76
4,test,scanning,1531
4,test,xss,3155
4,train,ddos,6334
4,train,dos,13656
4,train,normal,1092
4,train,password,1079
4,train,ransomware,100
4,train,xss,6102
4,val,backdoor,2778
4,val,mitm,25
4,val,normal,558
