packets,non_ip,fragments,parse_errors,other_proto,flows,retransmit_segments,files,capture_id
658119,1811,13,0,583,49739,3,1,injection_normal4.pcap
2084329,7545,1,0,124,237,12564,1,MITM_normal4.pcap
896836,2650,9,0,9,120019,3091,1,normal_DDoS_1.pcap
1717419,8778,18,0,2111,149932,141,1,injection_normal1.pcap
1088125,4247,13,0,338,67392,35,1,normal_DoS_1.pcap
3307360,7861,49,0,20,457720,1254,1,normal_DDoS_12.pcap
8240128,27126,34,0,916,6608,32379,1,MITM_normal1.pcap
4000000,10500,2,0,81,518533,10677,1,normal_DDoS_4.pcap
2000000,4368,3,0,1080,211765,541,1,normal_XSS4.pcap
2000000,2895,2,0,1022,205823,405,1,normal_XSS6.pcap
357819,13983,53,0,7642,23295,1533,1,normal_runsomware1.pcap
625737,12274,63,0,550,79862,15,1,normal_scanning1.pcap
6171383,39126,0,0,1395,834068,12,1,normal_DoS_5.pcap
2095430,98368,83,0,26946,560391,82,1,normal_backdoor.pcap
1905124,64081,130,0,14766,60705,9768,1,normal_runsomware2.pcap
2351035,17544,63,0,5018,238827,152,1,password_normal1.pcap
2773805,12662,7,0,2883,278553,18,1,password_normal5.pcap
3259683,84058,11,0,938,1587809,239,1,normal_scanning6.pcap
