raw_label,label_rows,row_match_rate,flows,row_shared,consistent_multi
backdoor,508116,0.7003361437152147,508117,304453,507835
ddos,6165008,0.17315500644930226,1067502,0,2217
dos,3375328,0.015782762445605288,871099,830070,830555
injection,452659,0.4172942546155053,188892,0,521
mitm,1052,0.41634980988593157,438,0,33
normal,796380,0.20116276149576834,167988,15569,17386
password,1718568,0.28877588783219516,496281,0,347
ransomware,72805,0.03730513014216057,5160,4888,5090
scanning,7140161,0.0377518097981264,269554,0,751
xss,2108944,0.195105228019331,411466,0,9369
