label,flows,flows_with_app_bytes,app_bytes_median,has_payload_rate,readable_segment_rate,encrypted_unreadable_flow_rate,mean_readable_segments,truncated_segment_flows,reason_ok,reason_no_payload,reason_tls_record,reason_high_entropy,reason_unreadable_binary,reason_too_short
ddos,1067502,165511,0.0,0.04309406446076916,0.24738913049909766,0.03617979170062445,0.08616564652806272,0,46003,901991,38307,315,80886,0
dos,871099,22715,0.0,0.00010102181267571194,0.00397441470533441,0.00022155920280014096,0.00022041122765609878,0,88,848384,192,1,22434,0
backdoor,508117,308,0.0,0.0,0.0,3.148881064794132e-05,0.0,0,0,507809,16,0,292,0
password,496281,372364,806.0,0.7458536595195061,0.7652648943419043,0.0002901581966668077,1.4460698676757724,0,370153,123917,130,14,2067,0
xss,411466,405208,936.0,0.7145790903744174,0.6945379647612998,1.4582006775772482e-05,1.8390049238576214,0,294025,6258,6,0,111176,1
scanning,269554,21924,0.0,0.04449943239573518,0.5440641434606431,0.02036697656128271,0.11705632266633031,0,11995,247630,5490,0,4402,37
injection,188892,174535,2424.0,0.8398396967579358,0.6088681739588109,0.06030959490078987,1.567816530080681,0,158639,14357,7918,3474,4504,0
normal,167988,137926,402.0,0.4638486082339215,0.5432285468185972,0.010119770459794748,0.9836178774674381,0,77921,30062,1679,21,58305,0
ransomware,5160,5106,4205.0,0.0001937984496124031,6.955070246209486e-05,0.0003875968992248062,0.0001937984496124031,0,1,54,2,0,5103,0
mitm,438,424,592.0,0.04794520547945205,0.037337662337662336,0.317351598173516,0.1050228310502283,0,21,14,139,0,264,0
