key,data,all,injection,password,xss,scanning,ddos,dos,Benign
IP pair,FHF 1500,0.818,0.405,0.877,0.945,0.908,0.801,0.0,0.793
IP pair,FHF full,0.817,0.947,0.0,0.0,0.0,0.863,0.0,0.839
IP pair,NF 1500,0.775,0.335,0.608,0.997,0.765,0.639,1.0,0.937
IP pair,NF full,0.728,0.877,0.0,0.0,0.0,0.934,0.0,1.0
flow vector (9 NetFlow fields),FHF 1500,0.928,0.946,0.897,0.947,0.97,0.779,0.459,0.997
flow vector (9 NetFlow fields),FHF full,0.894,0.987,0.0,0.0,0.061,0.985,0.23,0.983
flow vector (9 NetFlow fields),NF 1500,0.909,0.899,0.779,0.931,0.857,0.822,0.99,1.0
flow vector (9 NetFlow fields),NF full,0.726,0.931,0.0,0.0,0.312,0.826,0.024,1.0
flow vector + IP pair,FHF 1500,0.962,0.973,0.929,0.995,0.947,0.944,0.618,0.999
flow vector + IP pair,FHF full,0.901,0.992,0.001,0.006,0.09,0.991,0.276,1.0
flow vector + IP pair,NF 1500,0.929,0.935,0.878,0.991,0.822,0.836,0.987,1.0
flow vector + IP pair,NF full,0.728,0.932,0.0,0.0,0.453,0.824,0.044,1.0
