label,label_index,support,precision,recall,f1,tp,fp,fn,zero_division_policy
backdoor,0,2896,0.96271637816245,0.9986187845303868,0.9803389830508474,2892,112,4,0.0
ddos,1,16118,0.9957302709069493,0.8391860032262067,0.910780418827015,13526,58,2592,0.0
dos,2,13676,0.9929505813953489,0.9990494296577946,0.99599066919376,13663,97,13,0.0
injection,3,1638,0.700522778192681,0.5726495726495726,0.6301645952300974,938,401,700,0.0
mitm,4,61,0.0,0.0,0.0,0,0,61,0.0
normal,5,3031,0.5183558756367469,0.9736060706037611,0.6765245300320953,2951,2742,80,0.0
password,6,4609,0.9066044029352902,0.8845736602299848,0.8954535471117944,4077,420,532,0.0
ransomware,7,235,0.6005221932114883,0.9787234042553191,0.7443365695792881,230,153,5,0.0
scanning,8,2929,0.9985438660356752,0.9364970979856606,0.9665257223396758,2743,4,186,0.0
xss,9,7206,0.9596861471861472,0.9844573966139328,0.9719139608165502,7094,298,112,0.0
