label,label_index,support,precision,recall,f1,tp,fp,fn,zero_division_policy
backdoor,0,2896,0.9786802030456853,0.9986187845303868,0.9885489659887199,2892,63,4,0.0
ddos,1,16118,0.9966619686966842,0.8336021838937834,0.9078685090712524,13436,45,2682,0.0
dos,2,13676,0.9908649314869862,0.9993419128400117,0.9950853689613747,13667,126,9,0.0
injection,3,1638,0.995850622406639,0.5860805860805861,0.7378939277478862,960,4,678,0.0
mitm,4,61,0.0,0.0,0.0,0,0,61,0.0
normal,5,3031,0.5102459016393442,0.9858132629495217,0.6724428941149995,2988,2868,43,0.0
password,6,4609,0.9326641572563781,0.9676719461922326,0.949845596848046,4460,322,149,0.0
ransomware,7,235,0.5918367346938775,0.9872340425531915,0.7400318979266348,232,160,3,0.0
scanning,8,2929,1.0,0.9501536360532605,0.9744397759103641,2783,0,146,0.0
xss,9,7206,0.9651021236304612,0.9901470996391896,0.9774642098773889,7135,258,71,0.0
