label,label_index,support,precision,recall,f1,tp,fp,fn,zero_division_policy
backdoor,0,2896,0.9044048734770385,0.9996546961325967,0.9496473675578153,2895,306,1,0.0
ddos,1,16118,0.982454852444575,0.8303139347313563,0.9,13383,239,2735,0.0
dos,2,13676,0.9968831168831169,0.9822316466803159,0.9895031490552834,13433,42,243,0.0
injection,3,1638,0.5243843553838725,0.663003663003663,0.5856025882987328,1086,985,552,0.0
mitm,4,61,0.3448275862068966,0.16393442622950818,0.2222222222222222,10,19,51,0.0
normal,5,3031,0.41550874047512326,0.9175189706367536,0.571986836692719,2781,3912,250,0.0
password,6,4609,0.9663865546218487,0.6736819266652202,0.7939145998465865,3105,108,1504,0.0
ransomware,7,235,0.9949748743718593,0.8425531914893617,0.9124423963133641,198,1,37,0.0
scanning,8,2929,0.9970326409495549,0.803004438374872,0.8895612708018155,2352,7,577,0.0
xss,9,7206,0.9134934324001592,0.9554537885095754,0.9340025774944041,6885,652,321,0.0
