label,label_index,support,precision,recall,f1,tp,fp,fn,zero_division_policy
backdoor,0,2896,1.0,0.9996546961325967,0.9998273182524607,2895,0,1,0.0
ddos,1,16118,0.9969863632939049,0.8210075691773173,0.900479738695519,13233,40,2885,0.0
dos,2,13676,0.9964986505215552,0.9989031880666862,0.9976994705130546,13661,48,15,0.0
injection,3,1638,0.9317194289261328,0.9163614163614163,0.9239766081871345,1501,110,137,0.0
mitm,4,61,0.1320754716981132,0.11475409836065574,0.12280701754385964,7,46,54,0.0
normal,5,3031,0.5674705999601355,0.9392939623886506,0.7075049701789264,2847,2170,184,0.0
password,6,4609,0.9182769726247987,0.9898025602082882,0.9526991751070273,4562,406,47,0.0
ransomware,7,235,1.0,0.9787234042553191,0.989247311827957,230,0,5,0.0
scanning,8,2929,0.9961871750433275,0.9812222601570502,0.9886480908152735,2874,11,55,0.0
xss,9,7206,0.9263985563289507,0.9973633083541493,0.9605720395616145,7187,571,19,0.0
