label,label_index,support,precision,recall,f1,tp,fp,fn,zero_division_policy
backdoor,0,2896,1.0,0.9996546961325967,0.9998273182524607,2895,0,1,0.0
ddos,1,16118,0.9978241296518607,0.8251023700210944,0.9032805814032466,13299,29,2819,0.0
dos,2,13676,0.9984635645302897,0.9978794969289266,0.9981714452896431,13647,21,29,0.0
injection,3,1638,0.8947990543735225,0.9242979242979243,0.9093093093093093,1514,178,124,0.0
mitm,4,61,0.144,0.29508196721311475,0.1935483870967742,18,107,43,0.0
normal,5,3031,0.5869832173557102,0.9462223688551633,0.7245168624478969,2868,2018,163,0.0
password,6,4609,0.9200645942672587,0.9889346929919722,0.9532573460211231,4558,396,51,0.0
ransomware,7,235,0.9585062240663901,0.9829787234042553,0.9705882352941176,231,10,4,0.0
scanning,8,2929,0.9930699930699931,0.9784909525435302,0.9857265692175409,2866,20,63,0.0
xss,9,7206,0.9291817711030554,0.9959755759089648,0.9614199598124581,7177,547,29,0.0
