label,label_index,support,precision,recall,f1,tp,fp,fn,zero_division_policy
backdoor,0,2896,1.0,0.9996546961325967,0.9998273182524607,2895,0,1,0.0
ddos,1,16118,0.9975867269984917,0.8206973569921826,0.9005378174143918,13228,32,2890,0.0
dos,2,13676,0.9966445400831571,0.9990494296577946,0.9978455358773051,13663,46,13,0.0
injection,3,1638,0.9307598039215687,0.9273504273504274,0.9290519877675841,1519,113,119,0.0
mitm,4,61,0.15873015873015872,0.32786885245901637,0.21390374331550802,20,106,41,0.0
normal,5,3031,0.581315577078289,0.9505113823820521,0.7214223112557907,2881,2075,150,0.0
password,6,4609,0.8735632183908046,0.9893686266001301,0.9278665174483671,4560,660,49,0.0
ransomware,7,235,0.9915254237288136,0.9957446808510638,0.9936305732484076,234,2,1,0.0
scanning,8,2929,0.9961805555555555,0.9795151928986002,0.9877775865037012,2869,11,60,0.0
xss,9,7206,0.9607214428857715,0.9979184013322231,0.9789667143148867,7191,294,15,0.0
