label,label_index,support,precision,recall,f1,tp,fp,fn,zero_division_policy
backdoor,0,2896,1.0,0.9996546961325967,0.9998273182524607,2895,0,1,0.0
ddos,1,16118,0.9965298732649366,0.819580593125698,0.8994348743787023,13210,46,2908,0.0
dos,2,13676,0.9991216512955643,0.9980988593155894,0.9986099934157583,13650,12,26,0.0
injection,3,1638,0.8838174273858921,0.9102564102564102,0.8968421052631579,1491,196,147,0.0
mitm,4,61,0.1375,0.36065573770491804,0.19909502262443438,22,138,39,0.0
normal,5,3031,0.5818948213568848,0.9564500164962059,0.7235741919381006,2899,2083,132,0.0
password,6,4609,0.8713003628031316,0.9900195270123671,0.926873857404022,4563,674,46,0.0
ransomware,7,235,0.9915254237288136,0.9957446808510638,0.9936305732484076,234,2,1,0.0
scanning,8,2929,0.9954782608695653,0.9771252987367702,0.9862164024810476,2862,13,67,0.0
xss,9,7206,0.9672020515589148,0.9944490702192618,0.9806363325350667,7166,243,40,0.0
